01.11.2019,,,,,,,,,,,,,
Modellnavn,Type,Dører,Seter,Syl./Volum,Effekt (hk/kW),Drivhjul,Gir,Lengde (mm),Egenvekt (kg),Forbruk (l/100 km),CO₂ (g/km),NOx (mg/km),Pris (NOK)
RAV4 PHEV AWD-i Life BEL,SUV,5,5,4/2487,306/225,A,0A,4600,1910,1,22,"4,2",602900
RAV4 PHEV AWD-i Active BEL,SUV,5,5,4/2487,306/225,A,0A,4600,1910,1,22,"4,2",611800
RAV4 PHEV AWD-i Active Tech BEL,SUV,5,5,4/2487,306/225,A,0A,4600,1910,1,22,"4,2",627700
RAV4 PHEV AWD-i Style BEL,SUV,5,5,4/2487,306/225,A,0A,4600,1910,1,22,"4,2",658900
RAV4 PHEV AWD-i GR Sport BEL,SUV,5,5,4/2487,306/225,A,0A,4600,1910,1,22,"4,2",665500
RAV4 PHEV AWD-i Executive BEL,SUV,5,5,4/2487,306/225,A,0A,4600,1910,1,22,"4,2",685500
RAV4 PHEV AWD-i GR Sport Panorama BEL,SUV,5,5,4/2487,306/225,A,0A,4600,1910,1,22,"4,2",687800
RAV4 PHEV AWD-i Executive Panorama BEL,SUV,5,5,4/2487,306/225,A,0A,4600,1910,1,22,"4,2",698800
,,,,,,,,,,,,,
01.11.2023,,,,,,,,,,,,,
Modellnavn,Type,Dører,Seter,Syl./Volum,Effekt (hk/kW),Drivhjul,Gir,Lengde (mm),Egenvekt (kg),Forbruk (l/100 km),CO₂ (g/km),NOx (mg/km),Pris (NOK)
RAV4 PHEV AWD-i Life BEL,SUV,5,5,4/2487,306/225,A,0A,4600,1910,1,22,"4,2",663300
RAV4 PHEV AWD-i Active BEL,SUV,5,5,4/2487,306/225,A,0A,4600,1910,1,22,"4,2",672200
RAV4 PHEV AWD-i Active Tech BEL,SUV,5,5,4/2487,306/225,A,0A,4600,1910,1,22,"4,2",688100
RAV4 PHEV AWD-i Style BEL,SUV,5,5,4/2487,306/225,A,0A,4600,1910,1,22,"4,2",719900
RAV4 PHEV AWD-i GR Sport BEL,SUV,5,5,4/2487,306/225,A,0A,4600,1910,1,22,"4,2",726000
RAV4 PHEV AWD-i Executive BEL,SUV,5,5,4/2487,306/225,A,0A,4600,1910,1,22,"4,2",746500
RAV4 PHEV AWD-i GR Sport Panorama BEL,SUV,5,5,4/2487,306/225,A,0A,4600,1910,1,22,"4,2",748800
RAV4 PHEV AWD-i Executive Panorama BEL,SUV,5,5,4/2487,306/225,A,0A,4600,1910,1,22,"4,2",759800
,,,,,,,,,,,,,
01.11.2024,,,,,,,,,,,,,
Modellnavn,Type,Dører,Seter,Syl./Volum,Effekt (hk/kW),Drivhjul,Gir,Lengde (mm),Egenvekt (kg),Forbruk (l/100 km),CO₂ (g/km),NOx (mg/km),Pris (NOK)
RAV4 Hybrid AWD-i Style BE,SUV,5,5,4/2487,218/160*,Alle,0A,4600,1655,"5,7",131,"2,5",682600
RAV4 Hybrid AWD-i Executive BE,SUV,5,5,4/2487,222/163,Alle,0A,4600,1660,"5,7",131,"1,7",701600
RAV4 PHEV AWD-i Active BEL,SUV,5,5,4/2487,306/225,Alle,0A,4600,1910,1,22,"4,2",681500
RAV4 PHEV AWD-i Active Tech BEL,SUV,5,5,4/2487,306/225,Alle,0A,4600,1910,1,22,"4,2",697400
RAV4 PHEV AWD-i Style BEL,SUV,5,5,4/2487,306/225,Alle,0A,4600,1930,1,22,"4,2",729800
RAV4 PHEV AWD-i GR Sport BEL,SUV,5,5,4/2487,306/225,Alle,0A,4600,1930,1,22,"4,2",735900
RAV4 PHEV AWD-i Executive BEL,SUV,5,5,4/2487,306/225,Alle,0A,4600,1930,1,22,"4,2",756400
RAV4 PHEV AWD-i GR Sport Panorama BEL,SUV,5,5,4/2487,306/225,Alle,0A,4600,1930,1,22,"4,2",758700
RAV4 PHEV AWD-i Executive Panorama BEL,SUV,5,5,4/2487,306/225,Alle,0A,4600,1930,1,22,"4,2",769700
